id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type
0,0,::,08:00:27:9d:05:4d,08:00:27,0,ff02::1:ffe1:811e,33:33:ff:e1:81:1e,33:33:ff,0,58,6,0,0,6517,6517,0,2,156,6517,6517,0,2,156,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
1,0,::,08:00:27:9d:05:4d,08:00:27,0,ff02::1:ff68:ef0a,33:33:ff:68:ef:0a,33:33:ff,0,58,6,0,0,6517,6517,0,1,78,6517,6517,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
2,0,fe80::981:b1fd:8de1:811e,08:00:27:9d:05:4d,08:00:27,0,ff02::1:ffe1:811e,33:33:ff:e1:81:1e,33:33:ff,0,58,6,0,0,6517,11023,4506,3,258,6517,11023,4506,3,258,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,500,2253.0,2479.1163748400354,4006,500,2253.0,2479.1163748400354,4006,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
3,0,fe80::981:b1fd:8de1:811e,08:00:27:9d:05:4d,08:00:27,0,ff02::2,33:33:00:00:00:02,33:33:00,0,58,6,0,0,6517,14518,8001,5,382,6517,14518,8001,5,382,0,0,0,0,0,70,76.4,8.763560920082659,86,70,76.4,8.763560920082659,86,0,0.0,0.0,0,877,2000.25,1369.908117356781,3996,877,2000.25,1369.908117356781,3996,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
4,0,fe80::da58:d7ff:fe00:f72,d8:58:d7:00:0f:72,d8:58:d7,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,7394,10918,3524,3,258,7394,10918,3524,3,258,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,1517,1762.0,346.4823227814083,2007,1517,1762.0,346.4823227814083,2007,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
5,0,::,08:00:27:9d:05:4d,08:00:27,0,ff02::1:ff00:2c6,33:33:ff:00:02:c6,33:33:ff,0,58,6,0,0,6517,6517,0,1,78,6517,6517,0,1,78,0,0,0,0,0,78,78.0,0.0,78,78,78.0,0.0,78,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
6,0,fd2d:ab8c:225::2c6,08:00:27:0a:a9:9c,08:00:27,0,ff02::1,33:33:00:00:00:01,33:33:00,0,58,6,0,0,6517,6517,0,1,86,6517,6517,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
7,0,fe80::981:b1fd:8de1:811e,08:00:27:9d:05:4d,08:00:27,0,ff02::1:ff00:7f6,33:33:ff:00:07:f6,33:33:ff,0,58,6,0,0,8412,8520,108,2,172,8412,8520,108,2,172,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,108,108.0,0.0,108,108,108.0,0.0,108,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
8,0,fe80::294d:3ea3:b53c:c77f,08:00:27:5d:86:c6,08:00:27,0,ff02::1:ff00:7f6,33:33:ff:00:07:f6,33:33:ff,0,58,6,0,0,9225,11228,2003,2,172,9225,11228,2003,2,172,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,2003,2003.0,0.0,2003,2003,2003.0,0.0,2003,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
9,0,fe80::4c7b:f8cd:4e3e:dd3c,08:00:27:7e:74:80,08:00:27,0,ff02::1:ff92:eff9,33:33:ff:92:ef:f9,33:33:ff,0,58,6,0,0,13428,13428,0,1,86,13428,13428,0,1,86,0,0,0,0,0,86,86.0,0.0,86,86,86.0,0.0,86,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ICMPV6,Network,0,6,,,,,
